text,emoji
"Blinded by the rockets red glare and bombs bursting in air @ Powderville, South Carolina
",7
"#HappyEaster! We're closed today for the holiday. We'll see you tomorrow! #BestDealerEver -…
",6
"High tide and good vibes ️ #itsfallyall #galvestonbeach #weekendgetaway #purehappiness @user
",9
"WalkOfFameBaby @ Hollywood Walk of Fame
",4
"My two favorite things @ Takoi
",0
"You are my ️Beat... I'm your first Love ️...now that's something to be proud of...hate to hear…
",0
"#2k18 Learning New Tricks Ask Rufus Robertson .....#5olid @ Clinton Park, Texas
",1
"I put my vacation on pause for tonight to catch these 12 hours triple time. @ Miller Brewing…
",1
"Dr. Dog brought us the sounds of #ThePsychedelicSwamp last night! ( by tysech) @ Stage AE
",2
"Thank you to everyone who took time from their busy day to wish me a happy birthday and…
",4
"Going #hiking #LakeIsabella with my loves beauvanleeuwen &amp; #Puma @ Lake Isabella, California
",0
"Me #WCW goes out to the most amazing person out there! @ Jones AT&amp;T…
",0
"my first tugfest was def one to remember ️ @ Le Claire, Iowa
",0
"Y'all...check out my lashes! Thank you @user palooshyourself Schedule an…
",0
"This weekend the @user will invade ATL! credit @user #CowboysinvadeATL…
",2
"repping gvegas &amp; bringing home the bling bling #saucesisters #prego @ WRAL Soccer Complex
",13
"Who travels to cali and forgets sunglasses? us.&gt;&gt; We had the best extended weekend ever…
",5
"Special events at Cedarbrook Lodge are just that: special. : kirstenrob59 @ Cedarbrook Lodge
",2
"GABRIELLA LAWS Look 1 on ph5official #Repost ph5official・・・Thank you @user
",11
"This tree was my favorite because of the roots. @user #christmas #lights #philly…
",8
"happy bday jerry wray @ Hocking Hills State Park
",0
"My babies aren't babies anymore! #wesleyandjackson #sons #lovethem…
",0
"I’m so glad I got to see Senpai again ️ @user #wynwoodfearfactory @ Old RC Cola Plant
",0
"1 stop shop for music production, songwriting, and video. #mascotclique : dnice_mob @ New York,…
",2
"""Please don't talk to DJ."" A moment in time caught on by the legend @user at last…
",2
"dusk or dawn? #nofilter #thankfulthursday #tbt @ Mount Tamalpais
",2
"Did some numbers &amp; copped a Reese's ...@spuddsmckenzie saucey wit the @ Oakland, California
",2
"Travel around....and ART is always round #seattle #artistlife #lifeisart @ Frye Art Museum
",0
"HoogahLefOphBadAndBougie? #HegemonyDay #TakeOff #MericaBirthDate : @user @ The University…
",2
"THE BOYS ARE BACK IN TOWN!! #salutetheshooter - melo_sbe @ Clematis…
",2
"Dear Epcot, I love you ️ @ Epcot - Walt Disney World
",0
"#PresidentsinStone #mountrushmore #USA #Vacation #tourist #sightseeing @ Mount Rushmore…
",7
"""Dear Friends, this is our year to sparkle! Happy NYE from NYC!!Countdown to #BallDrop2017!!…
",4
"Sadowski Christmas at Uncle Jim’s! Pretty sweet custom #Beatles carving from Mexico. #fabfour…
",6
"Went to see a bunch of bands I had never heard of at The Fillmore with @user tonight …
",6
"My team at work today looking festive for the holiday party. #uglysweaterchamps @ Chrysler…
",5
"Don’t worry everyone, it’s gluten free @ Corinne
",10
"Waking up to this view was simply bonkers #disneylandhotel @ Disneyland Hotel
",6
"Kotani Christmas and Lena's birthday celebration. Thanks for a great time Colorado! linet4356…
",4
"Make sure you stop before turning right at red lights yall if you don't want your car insurance to double
",6
"Gonna miss my partner in crime these next few months @ Hotel Henry
",0
"The most beautiful view I've ever seen @ Dragon's Tooth
",9
"Is there a weekend where we don't have something FUN in NYC? I'm getting so tired of this! …
",13
"Night out with @user @ Applebee's | N 10TH STREET
",4
"My final #fundraiser of the year... I think Supporting @user and their #moveableFeast…
",10
"I love and appreciate my ESG team so much @ Earlham College
",0
"Links in bio A lot of times I get so consumed with my problems in life that my problems are…
",4
"PHILLY tonight at TLA, tickets available on the door. ttttttttthomas @ TLA
",2
"We just celebrated our 3 year anniversary and these three things keep us going everyday-1) we…
",0
"You know what they say, great things come in small packages ️ I LOVE MY SEN18RS @ Warner…
",0
"In 9 hours Jorge &amp; I will be on a plane to Kansas but first we have rehearsal ...
",12
"13/365 Catching up is always fun .#365project…
",6
"The artist and our magnets @user @ Pike Place Market
",6
"let's get political @ Washington, District of Columbia
",7
"Who said you can't tan in November | Thanksgiving cruise 16' @user
",9
"have missed my mini me more than words. @ Holiday World &amp;…
",0
"When Is Brotha Avenge U truck__12 @ Philadelphia Travelers Mc
",6
"fun in the sun @user @ The Beach on Okaloosa Island
",9
"Old vs New I work too hard not to deserve my dream car @ Don McGill…
",5
"THAT'S MY BEST FRIEND!! ••• #bestfriend #bestfriends #camp #throwback #summer #misssummer…
",0
"#the39steps guys left to right, Norm Boucher, Kevin McKillip, Matt Mueller, and David…
",5
"My wife loves cheese #wife #loves #cheese @user @ Tyler, Texas
",12
"Things we love: eating fireside in our Links Dining Room @ Andover Country Club
",3
"Ha who needs graduation! I got a certificate for completing my exchange year #Danville…
",1
"America Ninja Warrior (it's way steeper than it seems) #Dope #SlowMotion #SlowMo #Amazing…
",1
"Hope your night was as good as a crunch wrap supreme @ Taco Bell
",10
"My wife is turning blonde! #vacation #bahamas #beautifulwife #brunettetoblonde @ On Bahama…
",6
"Goodbye sunny Florida Time to get home and patiently wait for spring. #readytogohome…
",9
"@user Look by @user MUA @user @user @ The Bar Ber Shop
",0
"Finally here! Can we board the cruise early @ Seattle, Washington
",13
"I can't take them anywhere always putting stuff on Snapchat…
",1
"Happiness is a choice. Smile at someone today! #Canon #T3i #Rebel #photographer #photography…
",12
"This tree at Coffee Creek Estate #rainweddingplanning #whereismeredithtoday #myilea…
",0
"@user No im not getting off twitter , you the only reason im laughing or else I'll be in my feelings ! &amp; I know who pinky is .
",1
"Belated #birthday present and it's blue topaz #davidyurman @user
",0
"Turning it up for @user night at thewhiskyagogo for @user ricardoh_photography @user
",2
"My first haircut in 20 months!! Thank you mia_devacurl for helping me love my curls again @user
",12
"Dinner with my hoes (at @user Mexican Grill in Atlanta, GA)
",13
"@user @user @user @ Camp Seafarer
",0
"Ye'day #dab @ The White House
",7
"Say ""boo"" and pretend you are having fun! So glad I kept bugging them for more pictures. I…
",13
"read my hoodie @ Ballpark Village St. Louis
",10
"@user Yes, I miss u guys already! What's happening? It's rainy here. When is the next family gathering, I will be sure to tease Howard.
",1
"Me &amp; my crew rockin' red white &amp; blue @ Land of the Free and home…
",7
":if you are looking for amazing cupcakes or cakes crystallisette…
",2
"The magic hour...in my bedroom @ Playa del Rey Beach
",13
"Grab this gorgeous and sparkly necklace and earring set from #leprix @ Le Prix Fashion and…
",0
"Have a purrrrfect day @ school tmrw #clever @ Pussy Cat Lounge
",10
"Happy 30th to @user @ The 11th St. Bar
",6
"truly, honestly. @ Los Angeles, California
",4
"Calm before the storm of #16point3 #Open2016 #Crossfit #fitness #gameface @user :…
",2
"He is back for another year #timmeh #fatass #troll @ Kroger Pharmacy
",1
"(at @user in Chapel HIll, NC)
",13
"Me after watching #annihilation #spent #happy #wow ️ ️ ️ @ Studio City, California
",0
"Beautiful Day at the Ole Dirty( : @user ) @ Old Dominion University
",2
"Sun's out going out? (Please tell us we don't actually look like this) ️ @ Six Flags St. Louis
",9
"#TBT When the legend @user slid by pvtstckstudios to lay down some @ Private Stock
",3
"Rams won #getrektbrowns #domination @ St. Louis
",5
"ONLINE MARKETING QUOTES #catonr #mentores #producto #audiencia #cliente #marketingdigital…
",3
"Visiting my Grandma. In the room with the family (@ Duke University Hospital in Durham, NC)
",0
"Open tonight spiderhouseparties 7-11pm!! by greengoodvegan @ Spider House Patio Bar &amp; Cafe
",2
"Waiting on grandma watching the game @ Good Samaritan Medical Center
",4
"I'm so ready for this! Super excited!!!! #TheLionKing #Broadway #SundayFunday #NYC…
",12
"Well I made it to Wednesday before getting Edgar's this week. #edgarsbakery #nutellawaffles…
",1
"I can't tell which is cooler. Me or the snow. @ Blackwater Falls State Park
",1
"Hitched a ride back to DC @ Indiana
",7
"have some fun. Download now #bestoftheday #instagood #singer #beats #producer #music…
",3
"Thank you abtofficial &amp; @user for a lovely evening @ Harry Winston
",4
"Quick detour from driving #merrychristmas #rockafellercenter #christmastree @ Rockefeller Center
",12
"#thatfeelingwhen your tie looks better than the president's #harry #catsofinstagram #cat #gato…
",1
"Easy Breezy Cover Squirrel #nature #animals #squirrel #arist #artist #artistofinstagram…
",1
"24 Yrs ago..i still got the JUICE @ FOX 13 News - Tampa Bay
",12
"Great seeing you @user @ Wild Style
",5
"Saturday’s are and will always be for the boys @ Texas Motor Speedway
",3
"Thanks for my costume @user really love it …
",6
"We're stronger in the places we've been broken - Ernest Hemingway #gettingstrongereveryday…
",4
"I just might live in these leggings! But first, a quick instagram break, right? ( by…
",2
"#Disneyland #familia #navidad2017 @ Disneyland Park
",8
"Imma just sit this right here. @ St Louis King Of France School
",11
"Today was fun #AshSlashesTuscaloosa @ Bryant–Denny Stadium
",5
"Use your Christmas bonus to invest in yourself. Take advantage of our sale, which ends on…
",8
"THE MEDITATION RIPPLE EFFECT// When we meditate we spend time in silence and stillness not only…
",4
"the osborne family spectacle of dancing lights // 11.20.15 @ Disney's Hollywood Studios
",8
"Speak life or keep silent! Cred|| @user #TraneSpitta #DDW #Humanity #peace #love…
",2
"Corey Morgan of @user : Me#holdonhollywood #hoh #bass #bassguitar #schecter…
",2
"""I forgot to go to the gym today..... That's 3 years in a row"" ""Se me olvido de nuevo ir al…
",1
"'s up. Merry Christmas and Happy Holidays #christmastree #xmastree #christmas #xmas @ Windsor,…
",8
"Together with you is my favorite place to be @ Point Pleasant Beach, New Jersey
",0
"We decided to try a see how our family can survive on a cruise ship So we are off on a caribbean…
",10
"Meet my new bae's guys!! @ Clearwater Marine Aquarium
",0
"@user soon as you switch sides and start fuckin wit black men you gon be gucci
",1
"Day 1 was dope @ SCMF
",5
"Almost 33weeks in before BabyZ is here! ..#32weekspregnant #prego #babybump…
",0
"#GM if you haven't seen my new video #ClicktheLink #SQUEAKYMONROE…
",0
"Thank you, thank you God for putting Dr. Trivedi back in our lives
",0
"#selfiesaturday #picooftheday #bestoftheday #instadaily #instamood #mood @ Starbucks
",5
"Seriously the best tamales San Antonio has to offer. Try it Because they are @ B &amp; B Tamales &amp;…
",3
"First dance as Mr. and Mrs. #cloud9denver #mrandmrs #married #bride…
",2
"When you give up on HW &amp; decide to sleep but you can't because you drank too much coffee to pretend you were actually gonna do it
",6
"Yoooo twenty-four B-Day S/O’s my guy 24hrs !!! Many more kid!! ( credit lesterpace) @ Memphis,…
",2
"Happy Date Bra launch day, from my work Bae (VS) @ Victoria's Secret Direct - HQ
",0
"Black white moment. No filter needed. #broinlaw #sisinlaw #familyvalues #share #daily #subway…
",2
"All smiles through all four seasons @ La Marina NYC
",4
"Set shit up for the kill in 2018 @user @user #artistsoninstagram #artistic…
",2
"#TestDrive 2017 Jaguar XF R-Sport AWD 20d#NewYear #First #TimeLapse of 2017 @user
",2
"#happybirthday TARA @user awesome intimate #party thx to u + KELVYN @user + so…
",5
"Pro tip: let whoever think whatever : cassidyyjayne @ Brooklyn Bridge
",2
"Ashanti &amp; Ja Rule Concert @ Arena Theatre Houston
",4
"The Sun is Shining #californialove #uwim #blessed #selfie @ Ontario Convention Center
",12
"It’s official - Christmas time is here! .And so is winter! I woke up to snow white streets,…
",8
"Don't do it !!!! @ Mastro's Restaurants - Steakhouse, New York City
",13
"January 5 cut off date for Whole30 Coaching Program registration. Link in bio or go to my…
",10
"Sprained ankle at the meeting. #worklife @ Disney ABC Television Group
",1
"#pokemongo @user ogawa plaza while picking up our bibs. @ Frank Ogawa Plaza
",1
"All smiles on my end #miamilife #takenebackTomiami #summer #international #albanian @ Miami…
",12
"#Repost @user (get_repost)・・・Let's make it happen #everyday …
",4
"When you cut the axle on 3 parts is because you had to work a lot #gokartlife…
",1
"previewing the rotisserie festive menu (available from nov 14-30) (@ Café Boulud in Toronto, ON)
",8
"all the walking was worth this view @ Lavelle
",4
"Somebody bout to get this work.. @ Chicago, Illinois
",5
"A gurl can't live on #CityCellar alone lol Nice to sit outside, in…
",12
"Dinner with friends. #CampbellBookstore #CampbellProud #ThereIsNoAlcoholInBuiesCreek …
",1
"thank you grand lake for the best summer ever ️ ️ ️ @ Grand Lake, Ok
",9
"Happy bday timos_rc#miami @ South Beach
",9
"Ma'am goes off!! but she sangsss too! #bibibourelly @ Los…
",1
"A good book for a warm weather. Oh boy, its 91 degrees. Weew ️ @ Mt Prospect Ilinois
",9
"Had a great time with these two last night at formal @ Blackberry Ridge Golf Club
",5
"I love how peaceful it is at our house. It actually makes studying for finals somewhat bearable …
",6
"@user @user @user agreed! Hopefully we'll make the guest list.
",5
"Never giver up, never quit. ______________________________________Follow: @user
",7
"We're rocking so hard someone broke a string there's still time to get to Mojo's! @ MOJO'S…
",12
"Saw some great tennis tonight. Williams v. Stephens. @ US Open Tennis Championships
",7
"Spread the news!! Repost from salonem_boston using repostregramapp - We're hiring front desk,…
",6
"I DO ️L.A. ! Heading home to the ATL but I'll be back ... #lagoestola #LAWinters #loganlucky…
",0
"When I hear our new single playing in the background world I just hope y’all are ready for…
",3
"C e n t e r | o f | G r a v i t yThanks for being a pseudo-archie with me for a day @ Cornell…
",4
"Thanks for sharing the love #kindwords #nyc #icecream #cookies #cookiesandmilk #nycfood…
",0
"He says it's a bag. I say it's a hat. @ Home Goods
",1
"The breast cancer merch was fire this SZN •tell me in the comments if feeling this•(follow…
",3
"People say we look alike. I don't see it. @ Studio 68
",1
"Learning everyday. Results from the new lens &amp; edits @user ........#photography…
",2
"California Love @ MUSEUM OF ICE CREAM
",0
"Beautiful day in LA @ Runyon Canyon Park
",9
"WEEKEND MODE!! First is not the worst . We have a great lineup of DJ's this month at…
",13
"OMG! feeling excited #lereve #cirquedusoleil @ Encore Theater at Wynn Las Vegas
",0
"Just got my first #mickeytoyourdoor and I absolutely love it @user
",0
"Transformation game crazyyyyy #wisecuts #wisecutsbarberschool #barber #fairfaxbarber…
",3
"LADIES... If you're looking to get #wet and wild... the sign in sheet is in my DM! Decoding…
",13
"Cannot wait to finish this one. I this fuzzy yarn from #BabyBee #babyloulou #teddybear #fuzzy…
",0
"these girls. they organized and, quite frankly, nailed the most perfect shower ever today, and…
",4
"about to just be done with basketball all together tbh
",11
"Greetings from NYC! #nyc @ New York, New York
",0
"bitch you don't know me. yeah you knew me #AWESUMSAUCE #happynewyear #mysaucesoawesum…
",4
"Disney night #disneyland #fun #carsland #dca #2017 @ Disney California Adventure Park
",6
"The hardest part of being in shape but this is the money maker .…
",11
"It's just the beginning #draymondgreen Shout out @user @user @ Los Angeles,…
",3
"️ Posted a new page from #ProviderComic! Check out the it out at (link…
",0
"I don't take selfies but I seen my friend @user &amp; had to get one #ONLYUPFROMHERE @ Verizon…
",5
"Yay someone had a case of Xkaliber green tripe on hold and allowed us to release into…
",6
"A pic of me taking a pic. V art. @user @ Toronto, Ontario
",2
"T’was the day before Christmas ... #christmastree #christmaseve…
",8
"missing this right about now @ Southern Shores Outer Banks NC
",9
"More from the function. @user ....#tcat #dj #djtcat #royalfamily #beherenow…
",3
"Last night at the Kennedy Center for the Mark Twain Prize honoring Eddie Murphy#marktwainprize…
",0
"My Heart &amp; Soul #thelittlethings #mykids #KinsleyandThor #blessings @ Los Angeles, California
",6
"Here's to making memories!! #merrychristmas #groupphoto #pictureperfect #shopcrowntoheels @user
",13
"Dem caucus today #feelthebern #artifactuprising #darlingweekend #igers_seattle #soufend #vsco…
",3
"Aaron Movah Handy #movahinc #aaronhandy #socialite #socialites #fashionbombdaily…
",4
"Out in San Pedro capturing some landscape images a few weeks ago.Photo credit: chabokat @ San…
",2
"A spontaneous trip home well spent with good company @ Santa Clarita, California
",0
"Hope everyone is enjoying the long holiday weekend! Happy Labor Day @ Bow &amp; Arrow Boutique
",7
"House divided #WorldSeries2017 @ Harmony Community
",1
"The girls /slash/ all of us had so much fun at Christmas in the Village @ Fanshawe Pioneer Village
",8
"Not as much fun as she has with @user but still a good time @user
",13
"Duke’s campus is beautiful. Had a great time at the game. Go Noles @ Duke University
",6
"I getting drunk snaps from people who otherwise wouldn't snap you lol
",0
"It's ok in BellyDance u can have a little belly #bellydance #LA #cali #oksanastarlet…
",13
"I just fell the dumbest way ever!! wow! @ YVCC
",1
"Merry Christmas ya filthy animals! • #OurFirstChristmas #ImGonnaMarryYouOneDay @ The Collection…
",8
"If you need a Holiday laugh watch this now. Tell your friends @user
",1
"️ these little ones!! Pappy and his grand girls being silly. @user
",0
"Sometimes the stories behind the pictures are better than the actual pictures @ Concord, North…
",2
"A Snap of Chi ...#chicago #merchandisemart #theloop #downtown #city #illinois #snapchat…
",4
"At this point good luck not waking up to me!!! @ M.i.'s Westside Comedy Theater
",1
"Here comes the @ Cinespia Cemetery Screenings
",9
"5th Avenue @ New York, New York
",0
"find a happier boy YOU CAN’T : @user @ Rhode Island
",2
"23 &amp; living my best life @ Hollywood Walk of Fame
",4
"Get em @user @ North Carolina
",1
"Miguel - Adorn #Vegas #MGM Last Night Was Lit. @user @ Wyndham…
",3
"@ Edwards Long Beach 26 &amp; IMAX
",6
"Be love be light! ️#abogabir_photography @ Kennewick, Washington
",0
"It's labor bae weekend @ Pandan Room Restaurant
",4
"My two #heartbeats #brother #husband @ Grande Villas Resort
",0
"Just taking a pic of my mikes lemonade on the curb.. nah you see the new Audi bihhh. Forgiatos is the…
",1
"OMG A taste of heaven from Havana I now have a favorite rum that's even more difficult to…
",0
"TBT to 1987, “ I want to be your man” Zapp &amp; Roger. -Says no one ever -Also, Tonight…
",10
"#PrettyMuch #Accurate... I've sent more waiters to college than strippers #ChefLife…
",1
"Loving on my girl Beth at Montgomery Gentry @ Pompano Beach Amphitheater
",0
"happy birthday to one of my fav moms out there hope youre enjoying your day &amp; its as…
",0
"My favorite place to sit on the monorail #Disney #monorail #disneydays #disneylife…
",6
"I can tell a lot about a person by what they choose to see in me! (Somewhere around LA, last…
",4
"Enjoying our last day together with some good old fun in the sun ️ @user
",0
"#behindthescenes today! There isn't anything I won't do to get the shot! Just wait until you…
",10
"Try our Flatbread Pairing of the day!!! Featured is our Caprese Flatbread with…
",0
"SHOULDER WORKOUT WAS LIT Decided to take an unorthodox approach to my shoulder workout and…
",3
"️#pagspartyof2 @ The Fox Hill Inn
",0
"Hi everyone! I've started blogging! Whoa! I know, right!? Please visit and follow…
",1
"Football is good. @ Revelry on Richmond
",6
"Playing with Fire: #carlosalmaraz @ LACMA Los Angeles County Museum of Art
",3
"Comment or DM for more details! You can attend as a fan of cars or come display yours!…
",3
"my beautiful fam how am I so lucky #cosmic @ Saint Anejo
",4
"@ Runyon Canyon - Los Angeles / Hollywood
",2
"This girl #gorgeous #beautifulbride #indybride #LaurenSMITH #gettinsmithywithit…
",0
"@user true true ... well i look forward to your thoughts n stuff
",12
"Another design for my brooklyn brother @user new single called ""Trenches"" #Sturdy // Link…
",3
"JUST ANNOUNCED!! @user will headline this years Winter Whiteout 4 on Jan 20 along with…
",3
"Happy 4th from our family to yours. @ East Los Angeles, California
",7
"What a hot dinner date @ Ball State University
",10
"Shoutout to @user for always letting me be his camera test person before talent…
",2
"#tbt straight Daddy's Gurl luv you #JayaBaby @ Los Angeles, California
",0
"Added an Issues app sticker to the collection. (@ Mission Taco Soulard in Saint Louis, MO)
",6
"#wcw I don't often go horseback riding, but when I do I make sure to get of my wife's horse…
",2
"I wish you a Merry Christmas and a Happy New Year ️ @ Orchard Park,…
",0
"There's still a flame... #MoveOn @ New York, New York
",3
"The after dinner snack : @user @ Dominique Bistro
",2
"Don't let his facial expression fool you... but there was a cute 6 month old next to us. …
",1
"New home, same spot (same ocean) @ Atlantic Ocean
",10
"It was a tiny mussel kind of day... not my husband’s muscles though... those are perfection …
",10
"He was so excited to show me his ninja turtle shirt ️ ️ @ Roundup…
",0
"Thanks for the beautiful welcome back tonight Madison. I'm so in love with this city @user
",0
"When I realized how demanding we both can be... sheesh! @ Miami Sunny Isle Beach
",1
"Wisconsin! #Thankful #ItsReallyCold #Wisconsin #LaCrosse @ Grand…
",0
"Happy Birthday Papa Bus ️ ️ @ Carmel, Indiana
",0
"Gotta get all those angles friendsround #35mil @ Sauvie Island
",2
"Happiness is short rib wrapped in fresh pasta #shortribravioli : @user @ Marea
",2
"#Repost @user because I can’t wait for his Art Basel Show!! ️ #lovewhatyoudo ・・・The…
",0
"Want to pose for me this 2017? tell me a little about yourself and your love for sculpture…
",4
"Sometimes I forget that's me. : david_k_studio @ Santa Monica Pier
",2
"It's lit I swear I can dance @ United States Naval Academy
",3
"#Repost @user @user #sound #stories #experience #presence #light…
",4
"Getting straight 1's at UIL today was so much sweater with him by my side | 4/13/16 | @ HCISD…
",0
"Chico: Aye brah, were up next look at the camera. Me: ""cheese"" #usaf @ Davis-Monthan Air…
",5
"Hope you had a tree-mendous Christmas @ Downtown Disney District
",8
"just a few pictures from tonight ️thank you all for making today the…
",0
"""Ellas"" @user @user @user sinsenossihay ️ ️ ️ ( after facebook live) lo…
",0
"With that quad bacon burger from Blimpy - Drinking a Waves (Bølger) at @user - #photo
",3
"4th . @ City of Ellisville
",7
"#iconichouseofninja #starninja #happynewyear #nyc #myhousenameisninja photos taken by:…
",2
"A fun day finding our perfect Christmas tree! Athena approves #christmastree #december…
",0
"When you find an artist who's music is &amp; makes you feel some type of way. @user you are the one…
",3
"Christmas Cool. #rivertheadventurer #mybaby #christmaslovins #christmas2016 @ Mid-Town
",5
"Sunnybrook coaches comin' 4 ya. #CHAMPIONSHIPDREAMS…
",3
"@user Hoes be looking for cookouts like @ Overbrook Hills
",1
"City Hall Crew is getting too big for square photos! #FBRCity#FishtownBeerRunners #FBR…
",1
"Pep Rally Lit @ Morgan State University
",3
"#repost from @user Preshoot look yesterday with eva__hunter and @user (both…
",0
"Welcome to Miami @ Miami International Airport - MIA
",13
"The ramen and the rice bowl was amazing , and the sake topped it off . I will be defenitly…
",12
"I really need my own food TV show yo @ Lee's Fried Chicken &amp; Donuts
",1
"Special treat at the #disclosure concert... #lionbabe ... her! @ Navy Pier
",0
"we just workout @ Kuna High School
",10
"Meeting ZTAs in the city! #NYC #thecityatnight #winter #holidays @ Rockefeller Center
",8
"So happy I could be here with my little ones today @ Moravian College
",6
"I’m the Reprogramming to Your Matrix. @user use me up ️ @ Watts, Los Angeles
",0
"Flying Lotus had a trippy set with 3D glasses and ish! #fyffest #fyffest2017 #flyinglotus…
",4
"This is what dog walking looks like in Aventura #miami #miamire #aventura #waterways…
",5
"Bday apple pickin w/my beauties #blessed #35 #smithfam #smithtribe…
",12
"This is quickly becoming my #favorite lunchtime snack! #humas #flatbread #delicious @ Los…
",0
"Ran the #funrun with some of my heartbreakers today and beat them maryflys alicheer1010 @ Farmwell…
",13
"HAPPY FLAG DAY! In the United States, Flag Day is celebrated on June 14. It commemorates the…
",7
"Spring breakin @ St Augustine, Old City
",5
"Amazing @ New York, New York
",0
"Happy Friday Gamers! Party like shirtless Mario! Whoa! At least he's not wearing Speedos! …
",1
"Exploring creepy pools and stuff. : @user @ Haven Hill Historic Site At Highland Rec Area
",2
"""Looking fresh at b0baru meet! PC : timothy.yiu"" @ Fusion Ti 轉角茶鋪
",2
"i def had the flyest date someone tell GQ magazine that bo guest…
",3
"Excuse me while I go die over the fact that I just saw this live All expectations…
",0
"#learning the Choreography of susiegarcia for the somosunavozoficial show_stopper_studio…
",3
"(@ Minneapolis–Saint Paul International Airport - @user in Minneapolis, MN)
",8
"Too good not to share @ West Village
",1
"Tonight Welcome to HELL blumenightclub #FridayImInLoveYou BETTER be ready for…
",3
"WeWork Walnut Street First Bday! #wework #weworkphl @ WeWork Walnut St.
",5
"Kochi 210mm Kurouchi Stainless Clad Kiritsuke-Shaped Wa-Gyuto For the lovers of all things…
",4
"Happy Monday! Oh how we seeing our couples again and preserving their little ones as…
",0
"“@WakaFlocka: police like no house party tonight #WordGotAroundFast” #turnup
",1
"Glad to be a part of this. : djnormrocwell @ Access Music
",2
"1st night at the National Harbor @ National Harbor
",7
"All is right in my world Thanx to my crystals #quartz #amethyst ,…
",12
"Squad goals @user veronikab1999 @ Spring Mills High School
",5
"Time to say goodbye. @ Disney's Magic Kingdom
",4
"@ International Pinot Noir Celebration - IPNC
",0
"Forever In Our Hearts ️ SPC. Sebastian Hernandez Dec 09 1995 - Oct 22 2017#RIPCbass…
",0
"Today #BabyKate we witness history!! #WearWhiteToVote #NeverUnderestimateThePowerOfAWoman…
",7
"This cup represents so many things: 1. Leg shaving season is over.2. Christmas3. How much…
",0
"(@ Sawgrass Mills in Sunrise, FL)
",0
"got the cutest ornament off the christmas tree.. @ Winfield, Alabama
",8
"@ U.S. Department of Homeland Security - 26 Federal Plaza
",4
"Let your voice be heard, make your vote count #FirstTimeVoters @user
",7
"I had an appointment in DC earlier so figured I should stop and check out this local spot. @user
",6
"Wiz #blinked @ Coastal Credit Union Music Park at Walnut Creek
",1
"cosanostrakidd boy you kilt this shit @ San Bernardino, California
",11
"#Sparkles Night Switch #NYC #nyfwstreetstyle @ Soho, New York Fashion District
",4
"Last night ... play with the boss and get demoted. Fu*k with the boss and get promoted....…
",2
"Thanks for the goodies, jetliftbrian ! I’m all set for Havasu now . My ski started its journey…
",10
"The future can look as bright as you make it. Trust. outherevisuals @ LAX - Los Angeles…
",2
"TLC told me don't go chasing waterfalls yet here I am @ Gaylord…
",6
"#welosttho but we did it together n #mysideshurtfromlaughing STILL #icallhimbigtree #whatagame…
",1
"Birthday Morning | ..Doing what I love on my birthday. #luckygirl.#nov10 #shoot #film…
",2
"Grabbing lunch with our second born son. Love this dude. @ Wild About Harry's
",0
"crazy weekend with important shirts : @user @ Washington, District…
",2
"Hungry Hungry Hippos #whynot #bsick #apparel #performance #drift #tshirt #smallbusiness…
",3
"had an awesome time with my parents at food and wine yesterday …
",12
"Some friends in high places @ Malibu, California
",5
"#byebyenewyork until next time #Brooklyn #dumobrooklyn #brooklynbridge @ Dumbo, Brooklyn Bridge…
",10
"What did U say #streerart #littleitaly #heartwall @ Little Italy,…
",12
"Manhattan #newyork #dontwanttoleave @ New York, New York
",0
"The homie @user @user @ Northwell Health at Jones Beach Theater
",2
"Take me back to my happy place @ Five Islands Lobster Co
",4
"#wabashintern bonus: lifelong mentor!Regram : @user | Congrats on a great Chapel Talk…
",2
"another grad pic with my fav #proud #childrenofthecorn #stolehergown @ Waldwick High School
",0
"Lunch on the patio on JANUARY 25th!!!! Yes people, this is life in the south @ Elon, North…
",5
"Missing my princess &amp; mini me #daughter #son #family @ Valencia Greens, Orlando, Florida
",13
"Listen up, you young Thundercats. This was social media back in my day! …
",1
"BFFs since the beginning! We the Bakers!!!! @ Texas Roadhouse
",0
"What’s that ? How’s the new glassjaw ? It’s FIRE!!! @ Miami Childrens Courthouse
",3
"City of brotherly love ..#philly #hometown #nicetobehome @ Reading Terminal Market
",5
"California danseverson #heretocreate @ Laguna Beach, California
",2
"I you S A N F R A N C I S C O @ Little Italy, San Fracisco
",0
"Calves are stubborn as can be. Jerks #bodybuilding #bodybuilder #legs #calves #gym #fitness…
",5
"reasons why i love the holidays #simbanggabi2016 @ St. John The…
",8
"Nice to meet you, Lord Stanley #bucketlist #ATStaff #hockeyvilleusa @ California University of…
",0
"Magical Endings! Looks perfect on metal #metalphotos #beachlife #venicebeach #marinadelrey…
",6
"TONIGHT!! TRIVIA at 7 pm, The Patio at Rudy's!! Featuring ME #onenightstand #thepatioatrudys…
",6
"#throwbackthursday to this gem Who remembers this? Was for the Walt Disney World 25th…
",1
"Feeling a bit too much like Santa Claus (and not in the gift-giving way) this week? Feeling a…
",10
"#red leaves, red #beard! #fall #colors @ Lynde Shores Conservation Area
",6
"'Atta Boy! @ Virginia Beach Sportsplex
",7
"Me Tay and Lex always eat good but do not cook, at all
",1
"Had the best time with my bestie @user tonight! @ Big…
",0
